,분류,관광객수
0,50110102.0,583064
1,50110106.0,322946
2,50110107.0,790353
3,50110114.0,95501
4,50110116.0,2326554
5,50110134.0,3013134
6,50110137.0,252933
7,50110250.0,205167
8,50110253.0,366279
9,50110256.0,4929057
10,50110259.0,911075
11,50110310.0,245543
12,50130101.0,2915786
13,50130106.0,4269811
14,50130109.0,275330
15,50130112.0,4587668
16,50130118.0,572599
17,50130119.0,1717620
18,50130250.0,2537536
19,50130310.0,3655841
20,50130529.0,5917160
