EMD_CD,data
50110101,1442397396
50110102,2661226633
50110103,1183585508
50110104,4148152789
50110105,685522236
50110106,2967756875
50110107,2650193729
50110108,1255270820
50110109,4963995418
50110110,3011103319
50110111,655996990
50110112,108157200
50110113,179812669
50110114,394116914
50110115,75077100
50110116,405388860
50110117,1505203187
50110118,824715060
50110119,606098485
50110120,770137920
50110121,637103900
50110122,11126420064
50110123,1139669956
50110124,221222669
50110125,417717184
50110126,406432050
50110127,1916191392
50110128,316659045
50110129,1335333064
50110130,352604667
50110131,40647900
50110133,3533100
50110134,104654020
50110135,16774106
50110136,46615100
50110137,13094527507
50110138,164300
50110139,236238400
50110140,46424450
50110250,6646313336
50110253,9948163363
50110256,6330650745
50110259,8395645150
50110310,1794885463
50110330,1651927148
50130101,7640452682
50130102,1034001216
50130103,1210753028
50130104,264322080
50130105,1635948981
50130106,689725891
50130107,109612600
50130108,353654589
50130109,126106350
50130110,165544150
50130111,849815986
50130112,4076042289
50130113,217720935
50130114,1154371606
50130115,31003000
50130116,1811432649
50130117,32752000
50130118,463674568
50130119,6717474476
50130120,728629334
50130121,198380521
50130250,4370005979
50130253,1657708850
50130259,10590631189
50130310,5950830934
50130320,3693530119
