EMD_CD,data
50110101,2765000
50110102,15999600
50110103,8340000
50110104,16526500
50110105,10130000
50110106,9667300
50110107,6628750
50110108,5945000
50110111,2900000
50110114,560000
50110119,320000
50110121,400000
50110122,12690000
50110123,810000
50110129,300000
50110130,736000
50110137,63173000
50110250,23599010
50110253,5580000
50110256,6280000
50110259,5524000
50110310,1790000
50110330,3170000
50130101,44435000
50130102,300000
50130112,8210000
50130250,17342000
50130253,4820000
50130259,7670000
50130310,5900000
50130320,13043000
