EMD_CD,data
50110101,325734740
50110102,564532121
50110103,378424968
50110104,1053564111
50110105,172157990
50110106,1380787427
50110107,900360650
50110108,443246191
50110109,1164484080
50110110,928322450
50110111,97770210
50110112,8801200
50110113,40217900
50110114,102961800
50110115,16932000
50110116,117837900
50110117,329638080
50110118,193991700
50110119,126166800
50110120,174742500
50110121,232562218
50110122,3068380620
50110123,350636750
50110124,110148200
50110125,125629000
50110126,124255180
50110127,510510240
50110128,301299639
50110129,258664624
50110130,84062088
50110131,10662300
50110133,4010015
50110134,31555100
50110135,2421000
50110136,18453400
50110137,3774000663
50110138,5458500
50110139,28720200
50110140,46957000
50110250,2843476588
50110253,4601197741
50110256,2593424321
50110259,3100665240
50110310,699465330
50110330,461391583
50130101,2743052138
50130102,295289360
50130103,348226414
50130104,75202000
50130105,434144586
50130106,175904570
50130107,37933500
50130108,128332200
50130109,62077450
50130110,115946500
50130111,284887350
50130112,1117482226
50130113,23656800
50130114,586624450
50130115,8672500
50130116,570529880
50130117,16031000
50130118,125278960
50130119,1933425185
50130120,309729330
50130121,174516400
50130122,4953600
50130250,1541812979
50130253,628450482
50130259,3349457867
50130310,2613857831
50130320,1231789627
