,EMD_CD,data
0,50110101,2765000
1,50110102,15999600
2,50110103,8340000
3,50110104,16526500
4,50110105,10130000
5,50110106,9667300
6,50110107,6628750
7,50110108,5945000
8,50110111,2900000
9,50110114,560000
10,50110119,320000
11,50110121,400000
12,50110122,12690000
13,50110123,810000
14,50110129,300000
15,50110130,736000
16,50110137,63173000
17,50110250,23599010
18,50110253,5580000
19,50110256,6280000
20,50110259,5524000
21,50110310,1790000
22,50110330,3170000
23,50130101,44435000
24,50130102,300000
25,50130112,8210000
26,50130250,17342000
27,50130253,4820000
28,50130259,7670000
29,50130310,5900000
30,50130320,13043000
