,EMD_CD,data
0,50110101,104374740
1,50110102,45822170
2,50110103,32459649
3,50110104,262859624
4,50110105,12884320
5,50110106,3750400
6,50110107,73361580
7,50110108,870500
8,50110109,1005360086
9,50110110,191675490
10,50110111,30137800
11,50110113,12040300
12,50110114,21195410
13,50110115,636400
14,50110116,10354000
15,50110117,71555370
16,50110118,54023200
17,50110119,19109910
18,50110120,134892420
19,50110122,291606329
20,50110123,12534000
21,50110124,8553500
22,50110125,12261380
23,50110126,4398200
24,50110127,51616290
25,50110129,36836120
26,50110130,33789940
27,50110135,12200300
28,50110136,8910874
29,50110137,389471020
30,50110140,5884500
31,50110250,140174980
32,50110253,448006130
33,50110256,385683880
34,50110259,215765502
35,50110310,27365700
36,50110330,252884471
37,50130101,246200700
38,50130102,72242810
39,50130103,72239875
40,50130104,25200
41,50130105,59384260
42,50130106,63411500
43,50130108,36153450
44,50130110,727200
45,50130111,9092700
46,50130112,27657155
47,50130114,304000
48,50130115,1397000
49,50130116,35187195
50,50130119,46259310
51,50130121,264000
52,50130250,152973050
53,50130253,48028200
54,50130259,401942312
55,50130310,174227470
56,50130320,105126330
