,EMD_CD,data
0,50110101,20298810
1,50110102,134605200
2,50110103,31612100
3,50110104,77003200
4,50110105,74791000
5,50110106,40857000
6,50110107,50188200
7,50110108,36665020
8,50110111,13525000
9,50110114,11695000
10,50110117,5304500
11,50110119,7198000
12,50110121,960000
13,50110122,94261900
14,50110123,13300000
15,50110129,4015000
16,50110130,10175000
17,50110137,378379900
18,50110250,103363500
19,50110253,14753000
20,50110256,21575000
21,50110259,28027000
22,50110310,10430000
23,50110330,8110000
24,50130101,173127000
25,50130102,2050000
26,50130112,44884000
27,50130250,109790998
28,50130253,15161000
29,50130259,48702000
30,50130310,61559000
31,50130320,43997010
