,EMD_CD,data
0,50110101,1442397396
1,50110102,2661226633
2,50110103,1183585508
3,50110104,4148152789
4,50110105,685522236
5,50110106,2967756875
6,50110107,2650193729
7,50110108,1255270820
8,50110109,4963995418
9,50110110,3011103319
10,50110111,655996990
11,50110112,108157200
12,50110113,179812669
13,50110114,394116914
14,50110115,75077100
15,50110116,405388860
16,50110117,1505203187
17,50110118,824715060
18,50110119,606098485
19,50110120,770137920
20,50110121,637103900
21,50110122,11126420064
22,50110123,1139669956
23,50110124,221222669
24,50110125,417717184
25,50110126,406432050
26,50110127,1916191392
27,50110128,316659045
28,50110129,1335333064
29,50110130,352604667
30,50110131,40647900
31,50110133,3533100
32,50110134,104654020
33,50110135,16774106
34,50110136,46615100
35,50110137,13094527507
36,50110138,164300
37,50110139,236238400
38,50110140,46424450
39,50110250,6646313336
40,50110253,9948163363
41,50110256,6330650745
42,50110259,8395645150
43,50110310,1794885463
44,50110330,1651927148
45,50130101,7640452682
46,50130102,1034001216
47,50130103,1210753028
48,50130104,264322080
49,50130105,1635948981
50,50130106,689725891
51,50130107,109612600
52,50130108,353654589
53,50130109,126106350
54,50130110,165544150
55,50130111,849815986
56,50130112,4076042289
57,50130113,217720935
58,50130114,1154371606
59,50130115,31003000
60,50130116,1811432649
61,50130117,32752000
62,50130118,463674568
63,50130119,6717474476
64,50130120,728629334
65,50130121,198380521
66,50130250,4370005979
67,50130253,1657708850
68,50130259,10590631189
69,50130310,5950830934
70,50130320,3693530119
