,EMD_CD,data
0,50110101,1117810128
1,50110102,1584585655
2,50110103,889322919
3,50110104,2845092664
4,50110105,424303720
5,50110106,2643020243
6,50110107,1984741512
7,50110108,1089507371
8,50110109,2615782085
9,50110110,2013245606
10,50110111,303659048
11,50110112,35296200
12,50110113,111728450
13,50110114,209298262
14,50110115,53323000
15,50110116,277288190
16,50110117,883938145
17,50110118,479235010
18,50110119,330039790
19,50110120,449189990
20,50110121,425960250
21,50110122,8208223731
22,50110123,914473478
23,50110124,243073900
24,50110125,378200676
25,50110126,314762850
26,50110127,1308939449
27,50110128,471444780
28,50110129,741980312
29,50110130,238524852
30,50110131,29223500
31,50110133,8157800
32,50110134,68752700
33,50110135,8119000
34,50110136,47399710
35,50110137,9356297866
36,50110138,123700
37,50110139,67890020
38,50110140,62130780
39,50110250,6239272038
40,50110253,9918753180
41,50110256,6112850647
42,50110259,7438451277
43,50110310,1713836371
44,50110330,1178799952
45,50130101,6058729909
46,50130102,722002140
47,50130103,927774484
48,50130104,167877500
49,50130105,1052796170
50,50130106,455278109
51,50130107,102113400
52,50130108,278394700
53,50130109,162172400
54,50130110,226062750
55,50130111,663948280
56,50130112,2722253864
57,50130113,137287325
58,50130114,1070095377
59,50130115,23966000
60,50130116,1310863433
61,50130117,32572500
62,50130118,321667307
63,50130119,4652234200
64,50130120,709723800
65,50130121,292612700
66,50130122,6558300
67,50130250,3621150679
68,50130253,1372508367
69,50130259,7816250922
70,50130310,5243038159
71,50130320,2916238287
