"연령별(1)",2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12
"계",2912331,2617946,2334153,2246417,2401204,2495798,2642585,2427634,2049830,2153847,2090192,2342310,2513030,1046779,143366,31425,37802,48353,65936,88888,76798,71970,70686,80973,86143,68213,73999,71302,75416,79446,101963,137712,116615,124399,147907,139426
"0-20세",524920,422789,155306,190222,251597,282244,445047,353466,204392,218562,191921,304218,374797,122155,12408,300,615,1768,5549,16314,9095,4683,4009,6394,7740,4402,4046,3368,2998,4437,12677,28018,10221,5345,6367,13368
"21-30세",500398,456804,360527,328885,364551,441985,507597,504018,355527,323689,316204,381398,424159,195665,22463,915,2311,4041,7018,12572,9773,7710,6236,8499,12594,7563,7716,6660,6874,7631,10761,22961,17352,14654,18898,19205
"31-40세",437866,407862,448214,455133,482679,502797,475553,467219,440225,447065,417091,433357,378510,172744,25032,1690,3405,5648,8725,11119,9904,9696,9503,11023,12727,9462,9933,9452,10188,10519,14074,17214,17015,21576,28829,21333
"41-50세",552770,489328,406905,403816,436358,444954,477147,416469,346968,397877,399368,442116,466435,193003,20480,1614,2784,4625,7624,10976,8931,8264,8481,9972,10218,8551,8871,8148,8888,9388,14094,18949,14735,18912,24285,19608
"51-60세",474979,435113,459001,405070,404105,401323,366703,344087,325559,369347,373363,375396,424702,149291,12603,961,1585,2872,4192,5225,5511,5621,5986,6843,6007,5359,5853,5832,6484,6942,8303,9346,12026,15859,19475,15377
"61세 이상",262816,262511,350694,313687,305987,271590,214692,185300,235991,253277,254273,260147,289226,96112,8083,358,718,1717,2272,2271,2741,3124,3384,3571,3002,2918,3235,3444,4701,6324,6231,5187,10412,11703,14000,12356
"승무원",158582,143539,153506,149604,155927,150905,155846,157075,141168,144030,137972,145678,155201,117809,42297,25587,26384,27682,30556,30411,30843,32872,33087,34671,33855,29958,34345,34398,35283,34205,35823,36037,34854,36350,36053,38179
